table_name,start_date,end_date,total_data
dim_customer,2024-10-20 14:43:04.762420,2024-10-20 14:43:09.953363,99441
dim_product,2024-10-20 14:43:09.953363,2024-10-20 14:43:11.480518,32952
dim_seller,2024-10-20 14:43:11.480518,2024-10-20 14:43:11.688147,3095
fact_order,2024-10-20 14:43:11.688147,2024-10-20 14:43:20.919089,99441
fact_order_items,2024-10-20 14:43:20.919089,2024-10-20 14:43:29.492088,99441
fact_customer_feedback,2024-10-20 14:43:29.492088,2024-10-20 14:43:33.565810,99224
fact_sales_analysis,2024-10-20 14:43:33.565810,2024-10-20 14:43:40.462790,93846
